canonical,alias
date,Datum
date,Boekingsdatum
date,Transactiedatum
amount,Bedrag
amount,Mutatiebedrag
amount,Transactiebedrag
debit,Af
debit,Debet
credit,Bij
credit,Credit
description,Omschrijving
description,Details
description,Mededelingen
counterparty,Tegenpartij
counterparty,Naam
counterparty,Begunstigde
counterparty,Opdrachtgever
account,Rekening
account,Rekeningnummer
account,IBAN
transaction_id,Transactie ID
transaction_id,Referentie
currency,Valuta
direction,Richting
direction,Af/Bij
tags,Tags
tags,Labels
tags,Categorie
tags,Rubriek
