category	budget_code	direction	keywords
Income	INC	income	salaris|loon|salary|payroll|uitbetaling|bijschrijving salaris
Losses & fees	LOSS	expense	misbeheer|mismanagement|verlies|loss|roodstand|boete|aanmaning|incassokosten|incasso kosten|betalingsachterstand|casino|gok|gokken
Groceries	FOOD	any	albert heijn|ah |jumbo|lidl|aldi|plus supermarkt|dirk|coop|picnic|spar
Dining out	DINING	any	restaurant|cafe|bar|thuisbezorgd|deliveroo|ubereats|coffee|koffie|lunch|diner
Transport	TRAN	any	ns |nederlandse spoorwegen|ov chip|ovpay|shell|esso|bp |tankstation|uber|taxi|q park|parkeren
Housing	HOME	any	huur|hypotheek|mortgage|vve|woonverzekering|gemeente|waterschap
Utilities	UTIL	any	energie|gas|stroom|waternet|eneco|vattenfall|essent|greenchoice|internet|ziggo|kpn|odido|telefoon
Healthcare	CARE	any	zorg|verzekering|ziektekosten|apotheek|tandarts|huisarts|fysiotherapie
Shopping	SHOP	any	bol com|amazon|coolblue|mediamarkt|ikea|hema|zalando|wehkamp
Subscriptions & entertainment	ENT	any	netflix|spotify|apple|google|steam|playstation|disney|hbo|videoland|pathe
Taxes	TAX	any	belastingdienst|toeslag|inkomstenbelasting|btw
Transfers	TRANSFER	transfer	overboeking|transfer|tikkie|betaalverzoek|bunq|revolut|wise
